id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
523272,Adorable 3 Bedroom Cambie Craftsman,2572830,Katie,,South Cambie,49.25529,-123.11692,Entire home/apt,235,3,27,2019-03-29,0.32,1,244
540348,Modern Architectural Home Lakeside sleeps 6,2655554,Kristen,,Kensington-Cedar Cottage,49.25761,-123.06393,Entire home/apt,330,1,20,2018-10-14,0.29,2,294
557357,Commercial Dr West Coast Garden Ste,525761,Diane,,Grandview-Woodland,49.27909,-123.06272,Entire home/apt,70,30,184,2018-08-29,2.21,2,92
569160,Sunny Sunset Beach & Davie Street,2799473,Heath,,West End,49.2788,-123.12968,Entire home/apt,125,28,42,2019-04-26,0.52,1,265
591778,Mai Lodging - 4204 Double 8,9187,Mai,,Kensington-Cedar Cottage,49.24772,-123.0651,Private room,40,1,17,2019-05-07,0.21,3,342
622217,Sub-Penthouse with Amazing Views in Heart of City,3084195,Sherry,,Downtown,49.27801,-123.10715,Entire home/apt,349,2,13,2019-05-11,0.18,2,299
625396,Close to Jericho beach garden level loft.,3102862,The Vancouver Connection!,,Kitsilano,49.27063,-123.18412,Entire home/apt,199,2,142,2019-05-01,1.72,2,252
637617,Commercial Drive Character Suite,3181196,Alison,,Grandview-Woodland,49.27827,-123.07237,Entire home/apt,150,6,18,2019-03-29,0.22,1,205
648026,Quiet Oasis Garden Suite - Steps from the Drive,893727,Peter & Robin,,Grandview-Woodland,49.26966,-123.06855,Entire home/apt,81,30,52,2018-11-04,0.64,1,68
648278,"Furnished ,spacious rooms, near VGH",2456973,Jeanette,,Fairview,49.25903,-123.13166,Private room,110,30,10,2018-07-11,0.15,6,335
654744,English Bay Hideaway @ Stanley Park,2796859,James,,West End,49.29262,-123.14143,Entire home/apt,165,30,53,2019-03-31,0.73,1,284
654763,1 Bedroom Private Furnished Suite,2459577,Allison,,Kensington-Cedar Cottage,49.25145,-123.07335,Entire home/apt,76,30,22,2019-04-24,0.30,2,0
670259,Cozy room in 100 year old home,2818180,Shannon,,Kensington-Cedar Cottage,49.2619,-123.07239,Private room,60,30,87,2019-03-31,1.15,1,185
685239,Sunny Side Up- tiny home,3494649,Kendra & Trevor,,Hastings-Sunrise,49.27484,-123.03704,Entire home/apt,119,3,59,2018-09-27,0.73,2,62
688038,Vancouver's Beach At Your Doorstep,268742,Kayla,,West End,49.27911,-123.13774,Entire home/apt,295,2,27,2018-12-30,0.34,1,314
688828,3 bedroom family home in amazing location,1465740,Helene,,Kitsilano,49.27063,-123.17998,Entire home/apt,258,4,7,2016-08-31,0.15,1,28
703179,Cute room in a condo full of art,3246254,Izabela,,Downtown Eastside,49.28115,-123.10778,Private room,79,2,103,2019-04-26,1.33,1,109
713271,Luxury Seaview Studio Suite - Westend,3671073,Susan,,West End,49.28081,-123.13615,Entire home/apt,136,30,72,2018-12-18,1.00,1,271
727856,1 bedroom apartment - Amazing Location,560892,Vancouver Furnished,,Downtown,49.28387,-123.11732,Entire home/apt,161,30,4,2017-07-03,0.09,3,334
731219,Kitsilano Laneway House - Quiet Neighbourhood,3804851,Fran & Julian,,Kitsilano,49.2595,-123.18244,Entire home/apt,150,31,8,2018-10-31,0.11,1,143
732895,Best Location in Downtown - Bright Beautiful 1bdr,179396,Lili,,Downtown,49.28195,-123.12383,Entire home/apt,138,28,192,2019-04-30,2.46,5,99
735468,ENGLISH BAY VIEWS,3462044,Shea,,West End,49.2827,-123.13595,Entire home/apt,150,2,52,2019-04-28,4.16,1,335
736244,Kitsilano Garden Suite West,3842332,Lynn,,Kitsilano,49.26728,-123.18513,Entire home/apt,149,4,274,2019-04-23,3.48,4,144
755558,Kitsilano 2 bdrm Garden Level Suite,3976484,Lori,,Kitsilano,49.25938,-123.16551,Entire home/apt,125,5,54,2019-04-28,0.76,1,15
763445,Very Convenient Mini-suite,169365,Peter,,Renfrew-Collingwood,49.24628,-123.04341,Entire home/apt,42,3,133,2019-04-24,1.72,1,12
771366,Gorgeous and Spacious Yaletown LEVEL Suite,2502595,LEVEL Furnished Living,,Downtown,49.27784,-123.12212,Entire home/apt,200,31,2,2014-07-02,0.03,19,364
771380,Stunning Two Bedroom Unit in Downtown Vancouver,2502595,LEVEL Furnished Living,,Downtown,49.27897,-123.12195,Entire home/apt,350,31,7,2014-10-01,0.09,19,364
784153,The Garden Quarter in Kitsilano,3211112,Rasha,,Kitsilano,49.26242,-123.1737,Entire home/apt,66,30,38,2019-04-22,0.49,3,105
785297,The Nook in Kitsilano,3211112,Rasha,,Kitsilano,49.26364,-123.17482,Private room,47,14,47,2019-03-31,0.60,3,149
785752,The Garden Nook in Kitsilano,3211112,Rasha,,Kitsilano,49.26296,-123.1735,Entire home/apt,114,30,3,2016-09-17,0.04,3,145
795978,Luxury Suite with Private Balcony,4191094,Kelly,,Downtown,49.27527,-123.11586,Entire home/apt,325,180,6,2016-08-24,0.08,3,89
798293,Studio apartment-like a 3+star hotel,72649,Melanie,,West End,49.27849,-123.13193,Entire home/apt,109,90,54,2019-05-01,0.69,1,254
801222,fully furnished suite near VGH,4217281,Jennifer,,Fairview,49.25848,-123.12257,Entire home/apt,110,30,20,2017-07-29,0.27,3,278
824612,East Village Private Garden Gem!,4326869,Marketa,,Hastings-Sunrise,49.28648,-123.05395,Entire home/apt,85,31,54,2019-04-04,0.70,1,203
828920,1 bedroom+Den Monthly rentals only,4345039,Biljana,,Downtown,49.27347,-123.12012,Entire home/apt,144,30,3,2018-06-03,0.06,1,334
